id;language;extension;author;name;path;circuit;m.Width;m.Depth;m.MaxDens;m.AvgDens;m.NoP-X;m.NoP-Y;m.NoP-Z;m.TNo-P;m.NoH;m.%SpposQ;m.NoOtherSG;m.TNoSQG;m.TNoCSQG;m.NoSWAP;m.NoCNOT;m.%QInCNOT;m.AvgCNOT;m.MaxCNOT;m.NoToff;m.%QInToff;m.AvgToff;m.MaxToff;m.NoGates;m.NoCGates;m.%SGates;m.NoOr;m.NoCOr;m.%QInOr;m.%QInCOr;m.AvgOrD;m.MaxOrD;m.NoM;m.%QM;p.initialization;p.superposition;p.oracle;p.entanglement
fbd78080-88cf-46d3-9a76-d0a7fe7b7425;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_qiskit_algorithms.phase_estimators.ipe.py;"[[""H"", ""H"", ""MEASURE""]]";1.0;3.0;1.0;1.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;3.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;False;True;False;False
87acb642-64ba-4e3b-806b-a000010aa026;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_test.time_evolvers.test_time_evolution_problem.py;"[[""X""]]";1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;False;False;False
8cd73b43-79ea-4ba8-afd3-bdb3cf60cf60;Python;qiskit;2lambda123;qiskit;Python_qiskit_2lambda123_qiskit_examples.python.teleport.py;"[[{""ORACLE"": 1}, ""_"", {""CONTROL"": 1}, ""H"", ""MEASURE""], [""H"", {""CONTROL"": 2}, ""X"", ""MEASURE""], [""_"", ""X"", ""_"", ""Z"", ""X"", ""MEASURE""]]";3.0;6.0;3.0;16.666.666.666.666.600;1.0;0.0;1.0;2.0;2.0;0.3333333333333333;3.0;7.0;0.0;0.0;2.0;1.0;0.6666666666666666;1.0;0.0;0.0;0.0;0.0;10.0;2.0;0.7;1.0;0.0;0.3333333333333333;0.0;1.0;1.0;3.0;1.0;False;False;True;False
cbe68fbc-4107-4b27-b44b-54295138498f;Python;qiskit;2lambda123;qiskit;Python_qiskit_2lambda123_qiskit_test.python.transpiler.test_clifford_passes.py;"[[""X"", ""H""]]";1.0;2.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;True;True;False;False
a3e71345-67d8-4836-bd07-b363ba727cbf;Python;qiskit;qiskit-community;qiskit-algorithms;Python_qiskit_qiskit-community_qiskit-algorithms_test.test_phase_estimator.py;"[[""T""], [""T""]]";2.0;1.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;False;False;False;False
